Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;net3g;net4g;speed;bodyother;displayprotection;os;chipset;cpu;gpu;internalmemory;cam1features;cam1video;cam2modules;cam2video;nfc;price;sar-us;sar-eu;build;memoryother;optionalother;cam2features;models;net5g;tbench;batlife;batmusicplayback1
https://www.gsmarena.com/bosch_909_dual_s-183.php;https://fdn2.gsmarena.com/vv/bigpic/boc909sb.gif;Bosch 909 Dual S;Released 1999;109g, 17mm thickness;Feature phone;No card slot;17;N/A;220,292 hits;;96x32 pixels, 4x16 chars; ;;600 mAh Li-Ion;GSM 900 / 1800;No;No;1999;Discontinued;122 x 50 x 17 mm (4.80 x 1.97 x 0.67 in);109 g (3.84 oz);Mini-SIM;Monochrome graphic;;96 x 32 pixels, 4 x 16 chars;Dynamic font sizeSoft keysBlue LCD;No;No;No;No;No;No;;;CalculatorIntegrated PCMCIA;Removable Li-Ion battery;180 h;5 h;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/bosch_909_dual-142.php;https://fdn2.gsmarena.com/vv/bigpic/boc909b.gif;Bosch 909 Dual;Released 1999;99g, 17mm thickness;Feature phone;No card slot;10;N/A;116,307 hits;;4x16 chars; ;;650 mAh Li-Ion;GSM 900 / 1800;No;No;1999;Discontinued;112 x 50 x 17 mm (4.41 x 1.97 x 0.67 in);99 g (3.49 oz);Mini-SIM;Monochrome graphic;;4 x 16 chars;Dynamic font sizeSoft keys;No;No;No;No;No;No;;;CalculatorIntegrated PCMCIA;Removable Li-Ion 650 mAh battery;70 h;3 h;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/casio_g_zone_ca_201l-5384.php;https://fdn2.gsmarena.com/vv/bigpic/casio-gzone-ca-201l.jpg;Casio G'zOne CA-201L;Released 2013, May;173.8g, 13.7mm thickness;Android 4.0;16GB storage, microSDHC;26;0.3%;543,108 hits;"4.0""";480x800 pixels;1 GB RAM;Snapdragon S4 Plus;1800 mAh Li-Ion;CDMA 800 / 1900;;;2013, March. Released 2013, May;Discontinued;129.9 x 68.1 x 13.7 mm (5.11 x 2.68 x 0.54 in);173.8 g (6.10 oz);Micro-SIM;IPS LCD;4.0 inches, 45.5 cm(~51.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;microSDHC (dedicated slot);8 MP, AF;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot;4.0, A2DP;Yes, with A-GPS;No;microUSB 2.0;Accelerometer, proximity, compass, thermometer, barometer;;Li-Ion 1800 mAh, removable;;;Black, Red;CDMA2000 1xEV-DO;13;EV-DO Rev.A 3.1 Mbps, HSPA, LTE;IP67 dust/water resistant (up to 1m for 30 mins)MIL-STD-810G compliant;Corning Gorilla Glass 2;Android 4.0 (Ice Cream Sandwich);Qualcomm MSM8960 Snapdragon S4 Plus;Dual-core 1.5 GHz Krait;Adreno 225;16GB 1GB RAM;LED flash;Yes;1.3 MP;;Yes;About 270 EUR;;;;;;;;;;;
https://www.gsmarena.com/casio_g_zone_commando-4550.php;https://fdn2.gsmarena.com/vv/bigpic/casio-gzone-commando.jpg;Casio G'zOne Commando;Released 2011, April;154g, 15.2mm thickness;Android 2.3;1GB 512MB RAM storage, microSDHC slot;18;0.2%;515,371 hits;"3.6""";480x800 pixels;512 MB RAM;;1460 mAh Li-Ion;CDMA 800 / 1900;;;2011, April. Released 2011, April;Discontinued;129 x 65.5 x 15.2 mm (5.08 x 2.58 x 0.60 in);154 g (5.43 oz);Mini-SIM;TFT;3.6 inches, 36.9 cm(~43.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~259 ppi density);;microSDHC (dedicated slot), 8 GB included;5 MP, AF;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;Yes, with A-GPS;No;microUSB 2.0;Accelerometer, proximity, compass, thermometer;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerPhoto/video editorDocument viewer/editorVoice memo/dial/commandsPredictive text input;Removable Li-Ion 1460 mAh battery;Up to 270 h;Up to 7 h 30 min;Black;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;IP67 dust/water resistant (up to 1m for 30 mins)MIL-STD-810G compliant;;Android 2.3 (Gingerbread);;;;1GB 512MB RAM;LED flash;Yes;No;;;About 300 EUR;1.13 W/kg (head)     1.44 W/kg (body);;;;;;;;;;
https://www.gsmarena.com/celkon_a403-7618.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg;Celkon A403;Released 2015, August;113g, 10.2mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;2;N/A;77,968 hits;"4.0""";480x800 pixels;512 MB RAM;Spreadtrum SC7715;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2015, August. Released 2015, August;Discontinued;125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in);113 g (3.99 oz);Dual SIM;TFT, 256K colors;4.0 inches, 45.5 cm(~56.1% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;microSDHC;3.15 MP;Wi-Fi 802.11 b/g/n;2.0;A-GPS;FM radio;microUSB 2.0;Accelerometer;;Li-Ion 1400 mAh battery;;;Black, Light Blue, Red, Yellow;HSDPA 2100;;HSPA;;;Android 4.4.2 (KitKat);Spreadtrum SC7715;1.0 GHz;;4GB 512MB RAM;LED flash;Yes;1.3 MP;;No;;;0.38 W/kg (head)     0.68 W/kg (body);;;;;;;;;
https://www.gsmarena.com/celkon_campus_prime-7617.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg;Celkon Campus Prime;Released 2015, August;119.2g, 9.3mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;0;N/A;82,856 hits;"4.5""";480x854 pixels;512 MB RAM;Spreadtrum SC7715;1600 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2015, August. Released 2015, August;Discontinued;132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in);119.2 g (4.20 oz);Dual SIM;TFT, 256K colors;4.5 inches, 55.8 cm(~63.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~218 ppi density);;microSDHC;3.15 MP;Wi-Fi 802.11 b/g/n;2.0;A-GPS;FM radio;microUSB 2.0;Accelerometer;;Li-Ion 1600 mAh, removable;;;White, Black, Gold, Silver, Brown, Blue;HSDPA 2100;;HSPA;;;Android 4.4.2 (KitKat);Spreadtrum SC7715;1.0 GHz;;4GB 512MB RAM;LED flash;Yes;1.3 MP;;No;;;0.35 W/kg (head)     0.85 W/kg (body);;;;;;;;;
https://www.gsmarena.com/celkon_q3000-6511.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-q3000.jpg;Celkon Q3000;Released 2014;167g, 10mm thickness;Android 4.4.2;4GB 1GB RAM storage, microSDHC slot;3;N/A;93,417 hits;"5.0""";480x854 pixels;1 GB RAM;MT6582M;3000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2014. Released 2014;Discontinued;145.6 x 72.7 x 10 mm (5.73 x 2.86 x 0.39 in);167 g (5.89 oz);Dual SIM (Mini-SIM);TFT;5.0 inches, 68.9 cm(~65.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);;microSDHC;8 MP;Wi-Fi 802.11 b/g/n, hotspot;2.0;Yes;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 3000 mAh, removable;Up to 400 h (3G);Up to 12 h (2G) / Up to 22 h (3G);White;HSDPA 2100;;HSPA;;;Android 4.4.2 (KitKat);Mediatek MT6582M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;4GB 1GB RAM;;Yes;1.3 MP;;No;;;0.29 W/kg (head)     0.81 W/kg (body);;;;;;;;;
https://www.gsmarena.com/celkon_a35k-6451.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a35.jpg;Celkon A35k;Released 2014;102g, 10.7mm thickness;Android 4.4.2;2GB 256MB RAM storage, microSDHC slot;9;N/A;488,197 hits;"3.5""";320x480 pixels;256 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2014. Released 2014;Discontinued;119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in);102 g (3.60 oz);Dual SIM (Mini-SIM);TFT;3.5 inches, 36.5 cm(~48.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;microSDHC;3.15 MP;Wi-Fi 802.11 b/g/n;2.0;No;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 1400 mAh, removable;;;White, Blue;HSDPA 2100;;HSPA;;;Android 4.4.2 (KitKat);;1.0 GHz;;2GB 256MB RAM;;Yes;VGA;;No;About 40 EUR;;0.56 W/kg (head)     0.51 W/kg (body);;;;;;;;;
https://www.gsmarena.com/celkon_monalisa_5-5694.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-monalisa-5.jpg;Celkon Monalisa 5;Released 2013, December;120.5g, 9mm thickness;Android 4.1.2;4GB 1GB RAM storage, microSDHC slot;6;N/A;110,973 hits;"4.5""";540x960 pixels;1 GB RAM;Snapdragon S4 Play;1800 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, September. Released 2013, December;Discontinued;131.1 x 66.9 x 9 mm (5.16 x 2.63 x 0.35 in);120.5 g (4.23 oz);Dual SIM (Mini-SIM and Micro-SIM);TFT;4.5 inches, 55.8 cm(~63.6% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~245 ppi density);;microSDHC (dedicated slot);8 MP;Wi-Fi 802.11 b/g/n, hotspot;Yes;Yes;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 1800 mAh battery;Up to 200 h;Up to 5 h;Black, White;HSDPA 2100;;HSPA 7.2/5.76 Mbps;;;Android 4.1.2 (Jelly Bean);Qualcomm MSM8225Q Snapdragon S4 Play;Quad-core 1.2 GHz Cortex-A5;Adreno 203;4GB 1GB RAM;;Yes;Yes;;No;;;0.68 W/kg (head)     0.72 W/kg (body);;;;;;;;;
https://www.gsmarena.com/celkon_a112-5630.php;https://fdn2.gsmarena.com/vv/bigpic/celkon-a112.jpg;Celkon A112;Released 2013, August;;Android 4.2.0;4GB 512MB RAM storage, microSDHC slot;2;N/A;183,608 hits;"5.0""";480x854 pixels;512 MB RAM;;2000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;;;2013, August. Released 2013, August;Discontinued;-;-;Dual SIM (Mini-SIM);TFT;5.0 inches, 68.9 cm;480 x 854 pixels, 16:9 ratio (~196 ppi density);;microSDHC (dedicated slot);8 MP;Wi-Fi 802.11 b/g/n;Yes;No;;microUSB 2.0;Proximity, gyro;;Li-Ion 2000 mAh battery;;;Black/White;HSDPA 2100;;Yes, 384 kbps;;;Android 4.2.0 (Jelly Bean);;Dual-core 1.2 GHz;;4GB 512MB RAM;;Yes;1.3 MP;;No;About 90 EUR;;0.95 W/kg (head)     0.84 W/kg (body);;;;;;;;;
